id,nome,sobrenome,cpf,contato,nascimento,status
1,MURILO,Dionísio,102103105,34999999999,1930-08-10,Com Pendencia
2,MARIA,José,109323424,33 999999,1940-07-13,Sem Pendencia
3,JOAO,Fernando,1230049922,3499934399,1992-03-13,Sem Pendencia
4,MAURO,Rodrigues,120992300,3498882383,1993-02-10,Sem Pendencia
5,MARCOS,Rogério,149573445,34993432232,1991-09-05,Com Pendencia
6,PEDRO,Silva,169573445,34993432232,1991-09-05,Sem Pendencia
7,JORGE,Fagundes,134564465,3499399999,1991-09-05,Com Pendencia
8,MAURA,Oliveira,172983728,17988372837,1938-06-04,Sem Pendencia
9,MATEUS,Oliveira,199902325,3499399999,1982-09-05,Sem Pendencia
10,DAVI,FERREIRA,1255725,3499399999,1995-09-05,Com Pendencia
